fundamental_id,company_id,name,cik,ticker,start_date,end_date,months,fiscal_year,fiscal_period,filing_date,cashandequivalents,restrictedcash,shortterminvestments,notereceivable,accountsreceivable,netinventory,prepaidexpenses,currentdeferredtaxassets,othercurrentassets,othercurrentnonoperatingassets,totalcurrentassets,grossppe,accumulateddepreciation,netppe,longterminvestments,noncurrentnotereceivables,goodwill,intangibleassets,noncurrentdeferredtaxassets,employeebenefitassets,othernoncurrentassets,othernoncurrentnonoperatingassets,totalnoncurrentassets,totalassets,shorttermdebt,accountspayable,accruedexpenses,customerdeposits,dividendspayable,currentdeferredrevenue,currentdeferredtaxliabilities,currentemployeebenefitliabilities,othertaxespayable,othercurrentliabilities,othercurrentnonoperatingliabilities,totalcurrentliabilities,longtermdebt,capitalleaseobligations,assetretirementandlitigationobligation,noncurrentdeferredrevenue,noncurrentdeferredtaxliabilities,noncurrentemployeebenefitliabilities,othernoncurrentliabilities,othernoncurrentnonoperatingliabilities,totalnoncurrentliabilities,totalliabilities,commitmentsandcontingencies,redeemablenoncontrollinginterest,totalpreferredequity,commonequity,retainedearnings,treasurystock,aoci,otherequity,totalcommonequity,totalequity,noncontrollinginterests,totalequityandnoncontrollinginterests,totalliabilitiesandequity
fun_pRKEG4,com_0XLRDy,Dow Inc.,29915.0,DOW,,2021-03-31,,2021,Q1,2021-04-23 08:02:50 +0000,4133000000.0,,,,8265000000.0,6157000000.0,,,608000000.0,,19163000000.0,56009000000.0,36112000000.0,19897000000.0,4056000000.0,449000000.0,8819000000.0,3199000000.0,1778000000.0,,3076000000.0,,21377000000.0,60437000000.0,644000000.0,6569000000.0,3431000000.0,,,,305000000.0,,,405000000.0,,11354000000.0,16200000000.0,,995000000.0,,485000000.0,9032000000.0,7808000000.0,,34520000000.0,45874000000.0,,,,7751000000.0,16829000000.0,-625000000.0,-9913000000.0,-39000000.0,14003000000.0,14003000000.0,560000000.0,14563000000.0,60437000000.0
fun_alOb7e,com_0XLRDy,Dow Inc.,29915.0,DOW,,2021-12-31,,2021,FY,2022-07-22 11:55:17 +0000,2988000000.0,,,,9554000000.0,7372000000.0,,,934000000.0,,20848000000.0,57604000000.0,37049000000.0,20555000000.0,5238000000.0,478000000.0,8764000000.0,2881000000.0,1358000000.0,,2868000000.0,,21587000000.0,62990000000.0,392000000.0,8416000000.0,3481000000.0,,,,623000000.0,,,314000000.0,,13226000000.0,14280000000.0,,931000000.0,,506000000.0,7557000000.0,7751000000.0,,31025000000.0,44251000000.0,,,,8159000000.0,20623000000.0,-1625000000.0,-8977000000.0,-15000000.0,18165000000.0,18165000000.0,574000000.0,18739000000.0,62990000000.0
fun_EbvBxn,com_Eg46z4,Home Depot Inc,354950.0,HD,,2022-10-30,,2022,Q3,2022-11-21 22:47:45 +0000,2462000000.0,,,,3732000000.0,25719000000.0,,,1768000000.0,,33681000000.0,,,25240000000.0,,,7434000000.0,,,,10511000000.0,,17945000000.0,76866000000.0,1224000000.0,12402000000.0,3965000000.0,,,3173000000.0,,1934000000.0,640000000.0,942000000.0,,24280000000.0,41740000000.0,,,,,,9548000000.0,,51288000000.0,75568000000.0,,,,12475000000.0,75467000000.0,-85788000000.0,-856000000.0,,1298000000.0,1298000000.0,,1298000000.0,76866000000.0
fun_Yn60YZ,com_Eg46z4,Home Depot Inc,354950.0,HD,,2022-07-31,,2022,Q2,2022-08-22 21:50:39 +0000,1259000000.0,,,,3725000000.0,26088000000.0,,,1869000000.0,,32941000000.0,,,25247000000.0,,,7451000000.0,,,,10186000000.0,,17637000000.0,75825000000.0,1757000000.0,14348000000.0,3991000000.0,,,3539000000.0,,2204000000.0,1076000000.0,919000000.0,,27834000000.0,39271000000.0,,,,,,8483000000.0,,47754000000.0,75588000000.0,,,,12399000000.0,73074000000.0,-84564000000.0,-672000000.0,,237000000.0,237000000.0,,237000000.0,75825000000.0
fun_Vbx5lR,com_Eg46z4,Home Depot Inc,354950.0,HD,,2022-05-01,,2022,Q1,2022-05-23 21:52:20 +0000,2844000000.0,,,,3936000000.0,25297000000.0,,,1790000000.0,,33867000000.0,25166000000.0,,25166000000.0,,,7450000000.0,,,,10084000000.0,,17534000000.0,76567000000.0,2463000000.0,15367000000.0,4876000000.0,,,3675000000.0,,2008000000.0,1139000000.0,859000000.0,,30387000000.0,39158000000.0,,,,,,8731000000.0,,47889000000.0,78276000000.0,,,,12169000000.0,69849000000.0,-83044000000.0,-683000000.0,,-1709000000.0,-1709000000.0,,-1709000000.0,76567000000.0
fun_PQ2qnm,com_Eg46z4,Home Depot Inc,354950.0,HD,,2021-10-31,,2021,Q3,2021-11-22 22:44:32 +0000,5067000000.0,,,,3533000000.0,20582000000.0,,,1284000000.0,,30466000000.0,24935000000.0,,24935000000.0,,,7445000000.0,,,,10185000000.0,,17630000000.0,73031000000.0,2436000000.0,13375000000.0,3770000000.0,,,3499000000.0,,2028000000.0,968000000.0,827000000.0,,26903000000.0,36712000000.0,,,,,,8381000000.0,,45093000000.0,71996000000.0,,,,11979000000.0,65951000000.0,-76293000000.0,-602000000.0,,1035000000.0,1035000000.0,,1035000000.0,73031000000.0
fun_DkKY9Y,com_Eg46z4,Home Depot Inc,354950.0,HD,,2021-08-01,,2021,Q2,2021-08-23 21:47:11 +0000,4566000000.0,,,,3322000000.0,18909000000.0,,,1465000000.0,,28262000000.0,,,24750000000.0,,,7454000000.0,,,,10303000000.0,,17757000000.0,70769000000.0,2428000000.0,12817000000.0,3766000000.0,,,3498000000.0,,2329000000.0,1014000000.0,814000000.0,,26666000000.0,33746000000.0,,,,,,8288000000.0,,42034000000.0,68700000000.0,,,,11887000000.0,63560000000.0,-72793000000.0,-585000000.0,,2069000000.0,2069000000.0,,2069000000.0,70769000000.0
fun_1Ed37v,com_Eg46z4,Home Depot Inc,354950.0,HD,,2021-05-02,,2021,Q1,2021-05-24 17:55:43 +0000,6648000000.0,,,,3624000000.0,19178000000.0,,,1222000000.0,,30672000000.0,,,24673000000.0,,,7137000000.0,,,,10085000000.0,,17222000000.0,72567000000.0,1164000000.0,14494000000.0,4566000000.0,,,3415000000.0,,2167000000.0,1149000000.0,803000000.0,,27758000000.0,34697000000.0,,,,,,8364000000.0,,43061000000.0,70819000000.0,,,,11645000000.0,60504000000.0,-69793000000.0,-608000000.0,,1748000000.0,1748000000.0,,1748000000.0,72567000000.0
fun_OrGAEL,com_Eg46z4,Home Depot Inc,354950.0,HD,,2022-01-30,,2021,FY,2022-11-21 22:47:45 +0000,2343000000.0,,,,3426000000.0,22068000000.0,,,1218000000.0,,29055000000.0,,,25199000000.0,,,7449000000.0,,,,10173000000.0,,17622000000.0,71876000000.0,3482000000.0,13462000000.0,4049000000.0,,,3596000000.0,,2426000000.0,848000000.0,830000000.0,,28693000000.0,36604000000.0,,,,,,8275000000.0,,44879000000.0,73572000000.0,,,,12222000000.0,67580000000.0,-80794000000.0,-704000000.0,,-1696000000.0,-1696000000.0,,-1696000000.0,71876000000.0
fun_OrxG42,com_AXGrAg,Honeywell International Inc,773840.0,HON,,2022-09-30,,2022,Q3,2022-10-27 13:09:11 +0000,7449000000.0,,516000000.0,,7363000000.0,5501000000.0,,,1696000000.0,,22525000000.0,,,0.0,807000000.0,238000000.0,16974000000.0,3220000000.0,437000000.0,,16086000000.0,,37762000000.0,60287000000.0,4749000000.0,6118000000.0,7242000000.0,,,,,,,,,18109000000.0,12236000000.0,,,,2406000000.0,203000000.0,8996000000.0,,23841000000.0,41950000000.0,,7000000.0,,9418000000.0,44767000000.0,-33182000000.0,-3296000000.0,,17707000000.0,17707000000.0,623000000.0,18330000000.0,60287000000.0
fun_3rpV72,com_AXGrAg,Honeywell International Inc,773840.0,HON,,2022-06-30,,2022,Q2,2022-07-28 13:16:12 +0000,8248000000.0,,411000000.0,,7738000000.0,5576000000.0,,,1874000000.0,,23847000000.0,,,0.0,797000000.0,272000000.0,17528000000.0,3385000000.0,491000000.0,,15938000000.0,,38411000000.0,62258000000.0,6586000000.0,6245000000.0,7116000000.0,,,,,,,,,19947000000.0,12491000000.0,,,,2421000000.0,212000000.0,8990000000.0,,24114000000.0,44061000000.0,,7000000.0,,9355000000.0,43883000000.0,-32814000000.0,-2883000000.0,,17541000000.0,17541000000.0,649000000.0,18190000000.0,62258000000.0
fun_1El8Ll,com_AXGrAg,Honeywell International Inc,773840.0,HON,,2022-03-31,,2022,Q1,2022-04-29 13:03:57 +0000,9281000000.0,,493000000.0,,7119000000.0,5472000000.0,,,1916000000.0,,24281000000.0,,,0.0,1035000000.0,314000000.0,17863000000.0,3534000000.0,494000000.0,,15831000000.0,,39071000000.0,63352000000.0,6733000000.0,6285000000.0,7009000000.0,,,,,,,,,20027000000.0,12636000000.0,,,,2387000000.0,220000000.0,9024000000.0,,24267000000.0,44294000000.0,,7000000.0,,9284000000.0,43288000000.0,-31420000000.0,-2787000000.0,,18365000000.0,18365000000.0,686000000.0,19051000000.0,63352000000.0
fun_KkMjjo,com_AXGrAg,Honeywell International Inc,773840.0,HON,,2021-09-30,,2021,Q2,2021-10-22 12:31:29 +0000,11087000000.0,,1049000000.0,,7239000000.0,4967000000.0,,,1691000000.0,,26033000000.0,,,5514000000.0,1243000000.0,330000000.0,16963000000.0,3637000000.0,760000000.0,,9711000000.0,,32644000000.0,64191000000.0,6903000000.0,6116000000.0,7188000000.0,,,,,,,,,20207000000.0,14346000000.0,,,,2372000000.0,225000000.0,8920000000.0,,25863000000.0,46070000000.0,,7000000.0,,8570000000.0,42079000000.0,-29614000000.0,-3193000000.0,,17842000000.0,17842000000.0,272000000.0,18114000000.0,64191000000.0
fun_nl22R4,com_AXGrAg,Honeywell International Inc,773840.0,HON,,2021-03-31,,2021,Q1,2021-04-23 09:10:16 +0000,11718000000.0,,942000000.0,,6675000000.0,4607000000.0,,,1645000000.0,,25587000000.0,,,5547000000.0,746000000.0,347000000.0,16981000000.0,3799000000.0,762000000.0,,9792000000.0,,32427000000.0,63561000000.0,5203000000.0,5792000000.0,6955000000.0,,,,,,,,,17950000000.0,16124000000.0,,,,2309000000.0,234000000.0,8685000000.0,,27352000000.0,45302000000.0,,7000000.0,,8463000000.0,40682000000.0,-27975000000.0,-3184000000.0,,17986000000.0,17986000000.0,266000000.0,18252000000.0,63561000000.0
